"TICKET","LOGIN","SYMBOL","DIGITS","CMD","VOLUME","OPEN_TIME","OPEN_PRICE","SL","TP","CLOSE_TIME","EXPIRATION","REASON","CONV_RATE1","CONV_RATE2","COMMISSION","COMMISSION_AGENT","SWAPS","CLOSE_PRICE","PROFIT","TAXES","COMMENT","INTERNAL_ID","MARGIN_RATE","TIMESTAMP","MAGIC","GW_VOLUME","GW_OPEN_PRICE","GW_CLOSE_PRICE","MODIFY_TIME"
"2380","1001058","","0","6","1","2017-07-17 17:54:09","0","0","0","2017-07-17 17:54:09","1970-01-01 00:00:00","0","0","0","0","0","0","0","5000","0","Deposit","0","0","1500314049","0","0","0","0","2017-10-16 18:48:14"
"5633","1001058","","0","6","1","2017-09-08 12:46:18","0","0","0","2017-09-08 12:46:18","1970-01-01 00:00:00","0","0","0","0","0","0","0","20","0","comment1","0","0","1504874778","0","0","0","0","2017-10-16 18:48:14"
"5634","1001058","","0","6","1","2017-09-08 12:54:37","0","0","0","2017-09-08 12:54:37","1970-01-01 00:00:00","0","0","0","0","0","0","0","1","0","ok","0","0","1504875277","0","0","0","0","2017-10-16 18:48:14"
"31309","1222000","BTCAUD","3","1","100","2018-03-28 14:45:28","10422.94921875","0","0","2018-03-28 16:48:11","1970-01-01 00:00:00","2","8019.95","7907.15","0","0","0","10346.671875","584.39","0","OK","0","0.7747853844485078","1522255691","0","0","0","0","2018-03-28 14:48:11"
"31276","1222000","BTCCHF","3","1","40","2018-03-28 13:31:22","7657.55078125","0","0","2018-03-28 16:48:19","1970-01-01 00:00:00","2","8059.05","7906.75","0","0","0","7561.4658203125","402.64","0","OK","0","0.7772846338600733","1522255699","0","0","0","0","2018-03-28 14:48:19"
"31444","1222000","BTCGBP","3","1","100","2018-03-28 16:59:34","5589.1181640625","0","0","2018-03-28 18:20:52","1970-01-01 00:00:00","2","7891.85","7873.55","0","0","0","5585.419921875","52.18","0","OK","0","1.40983","1522261252","0","0","0","0","2018-03-28 16:20:52"
"31448","1222000","BTCNZD","3","1","100","2018-03-28 16:59:59","10914.3232421875","0","0","2018-03-28 18:20:54","1970-01-01 00:00:00","2","7891.95","7873.55","0","0","0","10889.8017578125","177.48","0","OK","0","0.7759486942723347","1522261254","0","0","0","0","2018-03-28 16:20:54"
"31445","1222000","LTCUSD","2","1","100","2018-03-28 16:59:43","132.7899932861328","0","0","2018-03-28 19:25:31","1970-01-01 00:00:00","2","1","1","0","0","0","132.7100067138672","8","0","OK","0","1","1522265131","0","0","0","0","2018-03-28 17:25:31"
"32439","1222000","BTCEUR","3","0","10","2018-03-30 18:50:29","5362","0","0","2018-03-30 19:01:24","1970-01-01 00:00:00","2","6600.5","6646.1","0","0","0","5378.39990234375","20.22","0","OK","0","1.23244","1522436484","0","0","0","0","2018-03-30 17:01:24"
"31446","1222000","BTCUSD","3","1","100","2018-03-28 16:59:51","7881.60009765625","0","0","2018-03-30 19:02:00","1970-01-01 00:00:00","2","7881.60009765625","6655.39990234375","0","0","0","6655.39990234375","12262","0","OK","0","7881.60009765625","1522436520","0","0","0","0","2018-03-30 17:02:00"
"32446","1222000","BTCEUR","3","0","170","2018-03-30 19:02:30","5398.60009765625","0","0","2018-04-05 18:24:03","1970-01-01 00:00:00","2","6648.25","6671.85","0","0","0","5446.2001953125","990.39","0","OK","0","1.23254","1522952643","0","0","0","0","2018-04-05 16:24:04"
"32445","1222000","BTCEUR","3","0","50","2018-03-30 19:01:39","5397.60009765625","0","0","2018-04-05 18:24:10","1970-01-01 00:00:00","2","6647.65","6668.85","0","0","0","5443.7001953125","282.12","0","OK","0","1.2325300000000001","1522952650","0","0","0","0","2018-04-05 16:24:10"
"33440","1222000","BTCUSD","3","0","40","2018-04-05 18:28:30","6694.89990234375","0","0","2018-04-05 18:55:41","1970-01-01 00:00:00","2","6694.89990234375","6734.10009765625","0","0","0","6734.10009765625","156.8","0","OK","0","6694.89990234375","1522954541","0","0","0","0","2018-04-05 16:55:41"
"33439","1222000","BTCUSD","3","0","30","2018-04-05 18:25:26","6689.89990234375","0","0","2018-04-05 18:55:43","1970-01-01 00:00:00","2","6689.89990234375","6734.10009765625","0","0","0","6734.10009765625","132.6","0","OK","0","6689.89990234375","1522954543","0","0","0","0","2018-04-05 16:55:43"
"33438","1222000","BTCUSD","3","0","20","2018-04-05 18:25:10","6688","0","0","2018-04-05 18:55:45","1970-01-01 00:00:00","2","6688","6734.10009765625","0","0","0","6734.10009765625","92.2","0","OK","0","6688","1522954545","0","0","0","0","2018-04-05 16:55:45"
"33437","1222000","BTCUSD","3","0","10","2018-04-05 18:25:04","6676","0","0","2018-04-05 18:55:47","1970-01-01 00:00:00","2","6676","6734.10009765625","0","0","0","6734.10009765625","58.1","0","OK","0","6676","1522954547","0","0","0","0","2018-04-05 16:55:47"
"32442","1222000","BTCEUR","3","0","10","2018-03-30 19:01:18","5393.60009765625","0","0","2018-04-05 18:55:50","1970-01-01 00:00:00","2","6646.15","6737.75","0","0","0","5488.2001953125","115.73","0","OK","0","1.232545","1522954550","0","0","0","0","2018-04-05 16:55:50"
"31275","1222000","BTCCHF","3","0","40","2018-03-28 13:31:17","7683.7490234375","0","0","2018-05-04 12:49:15","1970-01-01 00:00:00","2","8060.75","9728.849999999999","0","0","0","9708.8564453125","8114.47","0","OK","0","0.7772755713947044","1525438155","0","0","0","0","2018-05-04 10:49:15"
